User story: R2019-5058;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;I want to dislike posts;;;;;;
Ends;to show my discontent or disagreement;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-5078;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;I want an overview of posts that I liked;;;;;;
Ends;Positive or nice posts would make my mood better;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-9218;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;I want to only see posts from my friends;;;;;;
Ends;All the reactions and likes become boring and tiring to see;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Posts;;;;;;

User story: R2019-6967;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;I want to draw on pictures before I upload them;;;;;;
Ends;To indicate something;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-5649;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;I want to post in multiple languages at once;;;;;;
Ends;So that my friends can read the post in their own native language;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

