User story: R2019-4634;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I would like YouTube to keep playing a video when I lock my screen;;;;;;
Ends;Because when I listen to a song now and I for example want to ride my bike I have to put my phone in my pocket;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-5674;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I would like to see the rating of videos by other YouTubers before clicking on a video;;;;;;
Ends;Because now I have to click the video to find out the rating of other people;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Video info;;;;;;

User story: R2019-5111;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I want YouTube to load videos while ads are playing;;;;;;
Ends;Because now I have to wait for the video to load after watching ads;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-5415;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I want a button so that I can make text on YouTube larger;;;;;;
Ends;Because I have trouble reading the text sometimes;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-2092;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I want a category with educational videos;;;;;;
Ends;Because I like watching those videos;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Categories;;;;;;

