User story: R2019-5394;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;To automatically generate a route along important places in a city;;;;;;
Ends;So I don't need to search the web first to find the places I want to visit;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-454;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;I would like to be able to increase or doube the size of the characters from the street names;;;;;;
Ends;So I can read the names and still have the overview on the map;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-2702;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;I would like to be able to see the routes I walked in the past;;;;;;
Ends;So I can see where I have or haven't been yet;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-460;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;I would like to be able to find which streets are used by cars;;;;;;
Ends;So I can avoid them;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-2038;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;I want to be able to make a route which avoids (as much as possible) traffic lights and intersections;;;;;;
Ends;Because they slow me down;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

