User story: R2019-6976;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;Frequent user;
Means;A way of saving addresses of restaurants I often order from;;;;;;
Ends;I often order from the same restaurants, and it's a hassle typing all their information in every single time;;;it = way addresses restaurants;"it" refers to the situation as a whole (?);;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-9629;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;A place where i can list my allergies/eating specifications and save them;;;;;;
Ends;this way i could perhaps filter restaurants/dishes based on the food contents;;;i = place allergies specifications;I refers to me, Roger;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-197;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;I'd like it if you can search for specific dishes as well, instead of just overal categories of restaurants;;;;;;
Ends;Now, I have t osearch multiple restaurants to find the meal that i want that day. With this, I'd be able to find it immediately;;;i = dishes categories restaurants;I = me;;
Requirement Type;change request;;;;;;
Concerning feature;Searching for food;;;;;;

User story: R2019-2356;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;a way of getting your order faster perhaps against a fee;faster;within fifteen minutes or so;;;A way of getting your order faster, perhaps against a fee;
Ends;i have little time and sometimes it takes too long for the food to arrive;;;i = way order faster fee;I is me;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-9463;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;i'd like it if there was a way for me to put my allergies on the site so that i don't have to check a dish (if it has anything in it or not);;;;;;
Ends;i have an allergy, and it makes it hard to order food sometimes. If i can register the allergy in the app, then it can just filter out foods that i can't eat.;;;i = way allergies t ( anything;i refers to me, Roger;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

