User story: R2019-9456;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Standard User;;;;;;
Means;I want Maps to be able to generate a route in a chosen city based on the general known sights of that city;;;;;;
Ends;Instead of do the planning myself I want Maps to do that work based upon the information it already has about the city;;;myself = Maps route chosen city known sights city;Maps;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-5360;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Standard User;;;;;;
Means;I want maps to show streetnames in a readeble format if I touch them;;;;;;
Ends;Now I can only read them if I zoom in and thus lose the general overview;;;them = streetnames format;streetnames;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-3970;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Cannot you remember I am still Bran a Standard User;;;;;;
Means;I want MAps to show me for a given city where I have not been yet;;;;;;
Ends;I would just want to be able to see this in Maps;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-9681;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Dog owner;;;;;;
Means;I want Maps to show me routes that avoid routes with traffic with cars;;;;;;
Ends;Sometimes I want to walk my dog. And I do not like it when my dog gets in places where he might be overrun by a car.;;;it = Maps routes cars;my dog;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-8461;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Biker;;;;;;
Means;I want Maps to create biking routes that take red traffic lights and congestion into account;;;;;;
Ends;So that I can reach my destination safer and faster;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Route selection;;;;;;

