User story: R2019-7931;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;routes showing city highlights;;;;;;
Ends;I want to get to know my new city;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-8586;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;I want to select routes that don't allow cars;;;;;;
Ends;My dog doesnt like cars, but I love my dog and walking;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Route selection;;;;;;

User story: R2019-3538;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Commuter;;;;;;
Means;Enlarge streetnames without zooming in on the map;;;;;;
Ends;I cant read the streetnames;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-1105;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;Visualisation of where i have been the last months.;;;;;;
Ends;I want to know if I have seen everything;;;;;I want to know if I have seen everythinh;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-291;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Recreational user;;;;;;
Means;routes avoiding traffic;;;;;;
Ends;I hate traffic;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Route selection;;;;;;

