User story: R2019-5666;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I want to see the likes and dislikes of a video before I actually click on the video to watch it.;;;;;;
Ends;I want to be able to make an estimation of the quality of the video before I watch it.;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Video info;;;;;;

User story: R2019-5421;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I would like to be able to make the text in the YouTube app a little bit bigger, so I could read it better.;;;;;;
Ends;I want to be able to read the titles of the videos better.;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-4428;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I want that the videos on YouTube keep on playing while I turn my screen off.;;;;;;
Ends;I listen to music often on YouTube and sometimes I put my phone in my pocket while listening to a music video, while I do that I want to turn off my screen and still hear the music.;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Videos;;;;;;

User story: R2019-4295;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I would want all the YouTube videos to be better categorized.;;;;;;
Ends;I watch educative videos for school, but I can not always find the video I am looking for in the categories.;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-1798;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Viewer;;;;;;
Means;I want the videos I want to be loading during the time I watch the ad that comes before the video.;;;;;;
Ends;I live in an area with poor connectivity and the videos load very slow. ;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;The loading of videos;;;;;;

