User story: R2019-7154;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;Save favorite adresses;;;;;;
Ends;I order a lot from different locations some locations I use more than others. I would like to save these adresses such that I don't have to type my favorite adresses again and again;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Account;;;;;;

User story: R2019-6243;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;Option for express delivery against extra payment;;;;;Option for express delivery;
Ends;It garantuees that my food will be on time whenever I don't have a lot of time.;;;;;It garantuees that my food is on time;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-9361;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;Search for specific dish;;;;;;
Ends;Sometimes I want a specific dish but I have to search the menus of various restaurants before I find it. ;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Dishes;;;;;;

User story: R2019-1927;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;Possibility to register my allergies;;;;;;
Ends;If allergies are registered I don't have to make that remark everytime and the information is directly send to the restaurant;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Account;;;;;;

User story: R2019-6471;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;Allergy warning pop-up;;;;;;
Ends;If the app warns me that there could be traces of e.g. nuts in the dish I can decide wether I can still eat it or not;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

