User story: R2019-3965;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;I want to save some adresses;;;;;;
Ends;There arte some faforite addresses I like to order;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-6345;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;The posibility to rush my order, for paying some extra;;;;;;
Ends;Sometimes I have to little time to wait;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-8547;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;I want the possibility to search for one specific dish instead of searching  fot that dish in several restaurants.;;;;;;
Ends;i don't want to look in the vast list of a restaurant looking for that specific dish.;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-7917;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;The posibility to register all my allergies;;;;;;
Ends;in this way I can easily check the dish for ingredients I am allergic for;;;;;yes;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-9579;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Frequent user;;;;;;
Means;The possibility to warn ifor allergies when the dish contains something I am alergic for.;;;;;;
Ends;to avoid ordering a dish with ingrdients I am alergic for;;;;;;
Requirement Type;change request;;;;;;
Concerning feature;Dishes;;;;;;

