User story: R2019-2389;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;active user;;;;;;
Means;An option to downvote or give thumbs down to a post;;;;;;
Ends;I want to show my disagreement in an easy way;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-5195;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;An overview of my liked posts;;;;;;
Ends;To look back on happy memories;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-9366;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;A setting option to only show posts placed by friends;;;;;;
Ends;My feed is cluttered with posts from other pages and people I do not want to see;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-2526;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;An option to draw on photos you upload;;;;;;
Ends;It can be fun and is an option in other apps;;;It = option photos;draw on photos;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-9987;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;An automatic translation tool;;;;;;
Ends;I have friends that do not speak English very well;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

