User story: R2019-6253;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;The ability to downvote or thumbs down content I do not agree with;;;;;;
Ends;I want to express my disagreement in a simple way;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-3269;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;I would like the ability to view a list of posts I liked;;;;;;
Ends;I would like to look at content I thought was good/positive, this would make that easy;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-6693;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;The ability to only have posts placed by my friends show up on my facebook homepage, and not liked pages or reactions/comments;;;;;;
Ends;Because it makes it makes it harder to view the actually interesting content, the posts by my friends;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-8694;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;I would like to be able to edit photos  that I upload, with for example text and filters, as I upload them;;;;;;
Ends;Because it would be easier to not have to first edit the photo in another program before uploading it;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-7822;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Active poster;;;;;;
Means;I would like the ability to write a single post in several languages, so that my friends can read the version written for their language;;;;;;
Ends;Because I have friends from all over, and some don't speak english well, and I want them to be able to understand my posts;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

